
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
         1        1       2.14399E-03   0.2450
         2        1       1.96560E-03   0.2201
         3        1       1.68356E-03   0.2425
         4        1       1.75927E-03   0.2691
         5        1       1.56415E-03   0.2838
         6        1       1.05668E-03   0.2867
         7        1       8.65436E-04   0.2947
         8        1       7.04784E-04   0.3054
         9        1       6.31742E-04   0.3259
        10        1       4.71507E-04   0.3791
        11        1       3.51141E-04   0.4548
        12        1       2.73847E-04   0.5180
        13        1       2.51350E-04   0.5126
        14        1       4.43167E-04   0.6705
        15        1       3.94994E-04   0.6814
        16        1       2.69368E-04   0.7660
        17        1       1.14820E-03   0.0918
        18        1       1.33124E-03   0.1192
        19        1       1.50169E-03   0.1489
        20        1       9.72976E-04   0.1526
        21        1       7.69261E-04   0.1887
        22        1       6.42061E-04   0.2337
        23        1       5.91057E-04   0.1900
        24        1       5.60786E-04   0.1935
        25        1       6.18692E-04   0.1564
        26        1       7.02391E-04   0.1840
        27        1       6.86707E-04   0.1762
        28        1       4.95693E-04   0.1598
        29        1       4.26003E-04   0.2159
        30        1       4.31179E-04   0.2431
        31        1       4.89434E-04   0.2451
        32        1       8.19311E-04   0.3417
         1        2       2.04906E-03   0.2120
         2        2       2.15688E-03   0.2310
         3        2       1.93055E-03   0.2610
         4        2       1.62620E-03   0.3289
         5        2       1.35276E-03   0.3453
         6        2       1.29796E-03   0.3369
         7        2       1.29960E-03   0.2936
         8        2       9.54447E-04   0.3440
         9        2       7.22734E-04   0.3605
        10        2       4.19551E-04   0.3093
        11        2       3.74144E-04   0.3523
        12        2       2.21970E-04   0.3536
        13        2       1.60608E-04   0.3959
        14        2       1.71472E-04   0.4732
        15        2       1.56755E-04   0.4717
        16        2       2.09817E-04   0.5482
        17        2       1.18905E-03   0.1012
        18        2       1.49503E-03   0.1706
        19        2       1.41492E-03   0.2127
        20        2       1.13613E-03   0.1676
        21        2       8.87728E-04   0.1929
        22        2       7.43362E-04   0.1615
        23        2       5.26986E-04   0.1521
        24        2       5.73796E-04   0.1489
        25        2       6.10308E-04   0.1982
        26        2       4.95689E-04   0.1706
        27        2       6.21556E-04   0.2128
        28        2       7.01688E-04   0.1729
        29        2       4.32505E-04   0.1737
        30        2       4.27630E-04   0.2375
        31        2       6.59375E-04   0.2538
        32        2       7.48156E-04   0.2715
         1        3       2.79236E-03   0.2617
         2        3       2.45127E-03   0.1890
         3        3       2.06834E-03   0.2049
         4        3       1.80559E-03   0.2401
         5        3       2.20618E-03   0.2837
         6        3       2.04327E-03   0.2806
         7        3       1.45624E-03   0.2378
         8        3       1.05670E-03   0.2451
         9        3       7.22668E-04   0.2800
        10        3       6.25804E-04   0.2967
        11        3       3.93506E-04   0.2982
        12        3       5.07654E-04   0.3314
        13        3       4.57731E-04   0.3763
        14        3       4.42106E-04   0.4294
        15        3       4.22450E-04   0.4225
        16        3       1.87302E-04   0.3620
        17        3       1.59944E-03   0.1213
        18        3       1.35564E-03   0.1288
        19        3       1.64846E-03   0.1587
        20        3       1.49144E-03   0.1731
        21        3       1.30776E-03   0.2454
        22        3       9.22708E-04   0.2346
        23        3       7.05487E-04   0.2417
        24        3       7.90971E-04   0.1720
        25        3       5.12650E-04   0.1636
        26        3       5.84534E-04   0.1447
        27        3       6.11390E-04   0.2171
        28        3       5.41297E-04   0.1607
        29        3       4.29937E-04   0.1726
        30        3       4.89509E-04   0.2021
        31        3       5.84038E-04   0.1939
        32        3       6.09064E-04   0.2554
         1        4       3.75025E-03   0.2414
         2        4       3.27427E-03   0.2485
         3        4       3.06647E-03   0.2661
         4        4       3.00753E-03   0.2898
         5        4       2.37663E-03   0.2965
         6        4       1.90897E-03   0.3335
         7        4       1.85342E-03   0.3298
         8        4       1.68648E-03   0.3390
         9        4       1.21844E-03   0.3636
        10        4       5.65578E-04   0.3393
        11        4       4.84359E-04   0.4033
        12        4       5.62580E-04   0.4241
        13        4       6.12510E-04   0.4574
        14        4       5.93395E-04   0.5684
        15        4       5.95513E-04   0.5241
        16        4       6.90960E-04   0.4392
        17        4       1.46455E-03   0.1183
        18        4       1.33213E-03   0.1407
        19        4       1.39126E-03   0.1341
        20        4       1.30679E-03   0.1191
        21        4       1.46413E-03   0.2120
        22        4       1.12356E-03   0.2095
        23        4       8.39012E-04   0.1801
        24        4       9.10783E-04   0.1934
        25        4       6.95854E-04   0.1977
        26        4       6.28404E-04   0.1501
        27        4       7.35472E-04   0.1795
        28        4       7.79134E-04   0.1818
        29        4       6.04152E-04   0.2004
        30        4       5.71805E-04   0.1895
        31        4       6.84469E-04   0.2531
        32        4       6.25134E-04   0.1843
         1        5       3.58244E-03   0.2000
         2        5       3.35514E-03   0.2186
         3        5       3.09865E-03   0.2147
         4        5       2.68363E-03   0.2459
         5        5       2.41387E-03   0.2510
         6        5       2.35510E-03   0.2410
         7        5       1.85392E-03   0.2397
         8        5       1.20697E-03   0.2717
         9        5       8.96930E-04   0.3142
        10        5       7.72540E-04   0.3453
        11        5       5.57818E-04   0.4011
        12        5       4.53745E-04   0.4566
        13        5       4.52785E-04   0.4290
        14        5       4.76641E-04   0.4065
        15        5       4.25470E-04   0.4281
        16        5       4.51327E-04   0.4051
        17        5       1.74487E-03   0.1490
        18        5       1.40882E-03   0.1030
        19        5       1.65431E-03   0.1456
        20        5       1.53237E-03   0.1626
        21        5       1.27213E-03   0.1949
        22        5       1.09080E-03   0.1798
        23        5       8.40775E-04   0.2063
        24        5       8.73803E-04   0.2236
        25        5       8.29688E-04   0.2445
        26        5       1.01262E-03   0.2403
        27        5       1.08923E-03   0.2681
        28        5       1.27615E-03   0.2263
        29        5       1.17389E-03   0.2428
        30        5       1.00614E-03   0.2188
        31        5       8.98675E-04   0.2026
        32        5       7.60755E-04   0.1884
