
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
         1        1       7.22613E-03   0.1524
         2        1       6.41823E-03   0.1578
         3        1       5.69555E-03   0.1907
         4        1       4.39202E-03   0.2334
         5        1       3.77869E-03   0.2406
         6        1       3.79125E-03   0.2088
         7        1       3.58082E-03   0.1754
         8        1       2.84329E-03   0.2052
         9        1       1.48257E-03   0.2451
        10        1       7.06743E-04   0.2415
        11        1       3.90668E-04   0.3065
        12        1       3.97446E-04   0.2987
        13        1       3.24517E-04   0.2932
        14        1       2.47830E-04   0.3345
        15        1       1.62175E-04   0.2801
        16        1       1.90466E-04   0.2789
        17        1       1.86645E-03   0.1960
        18        1       1.67944E-03   0.1543
        19        1       1.70109E-03   0.1683
        20        1       1.20575E-03   0.1981
        21        1       1.01712E-03   0.2002
        22        1       8.23884E-04   0.1601
        23        1       5.59305E-04   0.1406
        24        1       5.41076E-04   0.1481
        25        1       5.75628E-04   0.1693
        26        1       6.78501E-04   0.2052
        27        1       7.56782E-04   0.2124
        28        1       5.96395E-04   0.1651
        29        1       6.18864E-04   0.1851
        30        1       4.59230E-04   0.1597
        31        1       5.18335E-04   0.1855
        32        1       5.14524E-04   0.2080
         1        2       6.24451E-03   0.1788
         2        2       6.32059E-03   0.1756
         3        2       5.81952E-03   0.1785
         4        2       5.19997E-03   0.2066
         5        2       4.78444E-03   0.2035
         6        2       3.81401E-03   0.2206
         7        2       2.17490E-03   0.2499
         8        2       1.31658E-03   0.2188
         9        2       1.26342E-03   0.2776
        10        2       9.68149E-04   0.2666
        11        2       4.95309E-04   0.4062
        12        2       4.67579E-04   0.4070
        13        2       4.13030E-04   0.4126
        14        2       3.69524E-04   0.4237
        15        2       3.99329E-04   0.4099
        16        2       3.77768E-04   0.4203
        17        2       1.51706E-03   0.1337
        18        2       1.62512E-03   0.1560
        19        2       1.28973E-03   0.1475
        20        2       1.07338E-03   0.1579
        21        2       1.04701E-03   0.1755
        22        2       7.21177E-04   0.1340
        23        2       6.78643E-04   0.1458
        24        2       6.91726E-04   0.1425
        25        2       6.58757E-04   0.1719
        26        2       6.31289E-04   0.1963
        27        2       6.97673E-04   0.1692
        28        2       6.28077E-04   0.1710
        29        2       5.40200E-04   0.1611
        30        2       5.54537E-04   0.1927
        31        2       5.28757E-04   0.1956
        32        2       5.13947E-04   0.2086
         1        3       5.87425E-03   0.1583
         2        3       5.39381E-03   0.1739
         3        3       4.21450E-03   0.1980
         4        3       3.53253E-03   0.2425
         5        3       3.45326E-03   0.2277
         6        3       3.06940E-03   0.2137
         7        3       2.76678E-03   0.2216
         8        3       1.99160E-03   0.2605
         9        3       1.30119E-03   0.3302
        10        3       6.60137E-04   0.3935
        11        3       4.05462E-04   0.5964
        12        3       3.51166E-04   0.6038
        13        3       3.24018E-04   0.5232
        14        3       2.34958E-04   0.4989
        15        3       2.38963E-04   0.4350
        16        3       1.77463E-04   0.4478
        17        3       1.79752E-03   0.1428
        18        3       1.69919E-03   0.2053
        19        3       1.66333E-03   0.2266
        20        3       1.08475E-03   0.1440
        21        3       7.34451E-04   0.1293
        22        3       9.20467E-04   0.1767
        23        3       8.61075E-04   0.1748
        24        3       7.48015E-04   0.1683
        25        3       5.98864E-04   0.1537
        26        3       7.99933E-04   0.2000
        27        3       7.74550E-04   0.1827
        28        3       8.18535E-04   0.2021
        29        3       6.55213E-04   0.1987
        30        3       6.76422E-04   0.1952
        31        3       6.98747E-04   0.1668
        32        3       5.51433E-04   0.1801
         1        4       7.03376E-03   0.1459
         2        4       5.79942E-03   0.1631
         3        4       5.95131E-03   0.1613
         4        4       4.69395E-03   0.2093
         5        4       4.13134E-03   0.2185
         6        4       3.71539E-03   0.2127
         7        4       3.08049E-03   0.1931
         8        4       2.26649E-03   0.2107
         9        4       1.55627E-03   0.2423
        10        4       1.21310E-03   0.2848
        11        4       1.02054E-03   0.3336
        12        4       7.93248E-04   0.3475
        13        4       3.97111E-04   0.3341
        14        4       4.88385E-04   0.5973
        15        4       4.12148E-04   0.6115
        16        4       4.40070E-04   0.5459
        17        4       1.85708E-03   0.1556
        18        4       2.45319E-03   0.1779
        19        4       1.57748E-03   0.1825
        20        4       1.26901E-03   0.1482
        21        4       1.59619E-03   0.2129
        22        4       1.11136E-03   0.2156
        23        4       8.00238E-04   0.1419
        24        4       8.06568E-04   0.1241
        25        4       8.53866E-04   0.1847
        26        4       8.08033E-04   0.1366
        27        4       9.48298E-04   0.1648
        28        4       8.26066E-04   0.1480
        29        4       5.41744E-04   0.1572
        30        4       6.33550E-04   0.1824
        31        4       7.28938E-04   0.1757
        32        4       6.74668E-04   0.1732
         1        5       8.55772E-03   0.1588
         2        5       8.61439E-03   0.1587
         3        5       7.80443E-03   0.1800
         4        5       7.77064E-03   0.2252
         5        5       6.60391E-03   0.2393
         6        5       5.58998E-03   0.2468
         7        5       5.01235E-03   0.2298
         8        5       3.09702E-03   0.2489
         9        5       2.49583E-03   0.2711
