zone      T(1)         N(1)        T(2)        N(2)      V1(2)        V2(2)       V3(2)       
1  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11909.383945596022  0.0
2  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6764.50964522684  0.0
3  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  11625.379619174693  0.0
4  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6731.7826313307805  0.0
5  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6793.01243989305  0.0
6  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6854.117636355346  0.0
7  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  14188.341107793225  0.0
8  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.767309536792  0.0
9  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6743.006393417468  0.0
10  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6743.097496977239  0.0
11  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  13342.694653108032  0.0
12  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.838890905183  0.0
13  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.825876110929  0.0
14  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.948917867433  0.0
15  29.27737840817174  7.830126807761133e+18  168.29004702270103  7.830126807761133e+18  0.0  7039.411431479705  0.0
16  29.39315239586418  7.826505056835299e+18  167.9231335933059  7.826505056835299e+18  0.0  6936.837910078443  0.0
17  26.654214791423467  7.917465111523925e+18  176.983440245103  7.917465111523925e+18  0.0  7865.246851733688  0.0
18  29.06457129409378  7.836784040338137e+18  168.96447993792077  7.836784040338137e+18  0.0  7263.884531082196  0.0
19  28.074061153902882  7.867770111465046e+18  172.10362612811315  7.867770111465046e+18  0.0  7446.992976226184  0.0
20  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6682.2098125413995  0.0
21  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6854.338887857652  0.0
22  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6743.312241082418  0.0
23  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6682.07315720174  0.0
24  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9170.047949612072  0.0
25  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6816.146008685997  0.0
26  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6705.112854513636  0.0
27  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6682.047127613235  0.0
28  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9113.343680694876  0.0
29  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  9378.857871676366  0.0
30  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6699.911490930094  0.0
31  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6699.924505724348  0.0
32  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.46422887158  0.0
33  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6742.668008766882  0.0
34  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.435432283333  0.0
35  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.409402694828  0.0
36  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6652.219521118914  0.0
37  21.161592826679154  8.165358173705935e+18  199.86747815985362  8.165358173705935e+18  0.0  10374.278144309636  0.0
38  22.576862992585404  8.089325329586941e+18  193.09559481464765  8.089325329586941e+18  0.0  9653.188236046442  0.0
39  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6690.798293102917  0.0
40  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  15052.71516391713  0.0
41  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6690.785278308664  0.0
42  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6700.449547909487  0.0
43  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.507013651726  0.0
44  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.617639402878  0.0
45  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6742.893598533938  0.0
46  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.7022355655245  0.0
47  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.676205977018  0.0
48  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6742.934812049072  0.0
49  51.111073227411595  1.1301389697193462e+19  398.22511491910626  1.1301389697193462e+19  0.0  29097.37770642095  0.0
50  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  14138.120692792647  0.0
51  20.549555393384924  9.64082516223093e+18  306.6589573471444  9.64082516223093e+18  0.0  43818.37637784654  0.0
52  27.58095706918621  7.884242358342041e+18  173.74172796645763  7.884242358342041e+18  0.0  7676.156504724538  0.0
53  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6676.697956754431  0.0
54  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6676.834612094089  0.0
55  20.751365998299043  8.189488424370059e+18  201.98094714530953  8.189488424370059e+18  0.0  10588.287110219331  0.0
56  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.604624608624  0.0
